1;1;"p.novotny@zenit.sk";"0900 123 456";"Peter Novotný";"{\"junior\":0,\"teen\":1,\"adult\":1,\"senior\":0}";"jednodňový";1;"2023-12-01";75;"2023-01-01 11:00:00"
2;3;"andrej.toth@zenit.sk";;"Andrej Toth";"{\"junior\":0,\"teen\":0,\"adult\":1,\"senior\":0}";"jednodňový";1;"2023-12-05";35;"2023-04-13 18:00:00"
3;6;"katarinaN@zenit.sk";"0900 654 321";"Katarína Novohradská";"{\"junior\":0,\"teen\":0,\"adult\":2,\"senior\":0}";"viacdňový";3;"2023-12-11";85;"2023-03-01 09:00:00"
4;2;"osjo@zenit.sk";;"Oswald Johnson";"{\"junior\":0,\"teen\":1,\"adult\":1,\"senior\":0}";"jednodňový";1;"2023-12-06";76;"2023-10-21 11:00:00"
5;1;"tomas.krat@zenit.sk";;"Tomáš Krátky";"{\"junior\":0,\"teen\":0,\"adult\":1,\"senior\":0}";"viacdňový";2;"2023-12-21";40;"2023-04-05 18:00:00"
6;5;"p.novotny@zenit.sk";"0900 123 456";"Peter Novotný";"{\"junior\":0,\"teen\":0,\"adult\":1,\"senior\":0}";"jednodňový";1;"2023-12-21";38;"2023-11-11 09:00:00"
7;6;"andrej.toth@zenit.sk";;"Andrej Toth";"{\"junior\":0,\"teen\":1,\"adult\":1,\"senior\":0}";"viacdňový";5;"2023-12-25";74;"2023-08-08 11:00:00"
8;3;"katarinaN@zenit.sk";"0900 654 321";"Katarína Novohradská";"{\"junior\":0,\"teen\":0,\"adult\":2,\"senior\":0}";"jednodňový";1;"2023-12-15";82;"2023-11-05 18:00:00"
9;2;"osjo@zenit.sk";;"Oswald Johnson";"{\"junior\":0,\"teen\":1,\"adult\":1,\"senior\":0}";"sezónny";0;"2024-01-01";75;"2023-10-11 09:00:00"
10;4;"tomas.krat@zenit.sk";;"Tomáš Krátky";"{\"junior\":0,\"teen\":0,\"adult\":1,\"senior\":0}";"jednodňový";1;"2024-01-01";39;"2023-08-29 11:00:00"
